age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,education,marital_status,occupation,relationship,race,sex,native_country,income,income_score
36,184112,15,15024,0,45,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9855036572861116
39,375452,15,15024,0,48,Private,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9853981829159272
28,119287,13,15024,0,28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9853396780794788
39,187098,15,15024,0,47,Private,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9851210881399902
53,199720,16,15024,0,60,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,Germany,>50K,0.9847759334484164
43,215458,16,99999,0,45,Self-emp-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9846458949230711
59,170993,15,13550,0,40,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9844725253801266
55,305850,15,15024,0,40,Federal-gov,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9844524973378177
46,102308,15,15024,0,50,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9844281048818753
59,177271,15,99999,0,84,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9842986638688415
38,146091,16,99999,0,36,Private,Doctorate,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9842906475045138
38,37683,15,99999,0,57,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,Canada,>50K,0.9842506755441861
58,112945,15,27828,0,40,Self-emp-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9841578305054574
40,46221,16,99999,0,55,Self-emp-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9841271005934987
50,410114,15,15024,0,50,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9841126982938566
51,392668,16,15024,0,84,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9841126982938566
62,195343,16,15020,0,50,Private,Doctorate,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9840274695586265
67,366425,16,99999,0,60,Private,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9839278565401257
28,229223,11,7688,0,36,Local-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9839229831069345
46,188386,16,15024,0,60,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9839128859915286
51,231495,16,7688,0,55,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9839128859915286
47,151584,15,7688,0,60,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9839128859915286
47,193047,16,99999,0,50,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9839128859915286
50,68898,16,7688,0,60,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9838130525147949
45,215862,16,7688,0,45,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9838102137269892
52,149908,15,25236,0,44,Private,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,United-States,>50K,0.9837391381157998
54,159219,15,99999,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9837269119218118
40,330174,15,7688,0,40,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9837179071321906
45,214627,16,15020,0,40,Private,Doctorate,Widowed,Prof-specialty,Unmarried,White,Male,Iran,>50K,0.98363266811481
41,150755,16,15024,0,50,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,Canada,>50K,0.9836133666992116
48,107231,15,99999,0,50,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9835672587031248
45,181307,15,15024,0,43,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9835283380130063
38,100079,16,27828,0,60,Private,Doctorate,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,China,>50K,0.9834826083124806
35,194668,15,99999,0,45,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9834388757546603
41,443508,16,99999,0,60,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9834242050810272
52,165998,15,7298,0,50,Federal-gov,Prof-school,Married-civ-spouse,Armed-Forces,Husband,White,Male,United-States,>50K,0.9833827175240121
40,237293,15,15024,0,40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9833787039352385
49,70209,16,14084,0,60,State-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K,0.9833489928736243
29,135791,13,15024,0,50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,Cuba,>50K,0.9833406023267878
28,168524,14,7688,0,35,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9833370293493682
34,128016,13,99999,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9833240468576117
51,100029,16,15024,0,40,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9832642271098248
44,177240,15,10520,0,40,Local-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9832364148930128
56,70720,14,27828,0,60,Self-emp-inc,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9832067218067815
34,187215,13,15024,0,36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.983200631583273
47,168262,14,99999,0,50,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9831764112308248
37,164526,16,14084,0,45,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9831634034261058
52,173754,15,15024,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
50,190333,15,99999,0,55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
51,338260,15,15024,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
49,211020,16,15024,0,50,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
46,192779,15,15024,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
48,287647,16,7688,0,55,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
47,181130,15,99999,0,50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
54,166459,15,99999,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
53,162381,15,15024,0,45,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
50,283676,16,15024,0,60,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
52,334273,16,99999,0,65,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9830774472841177
39,82699,15,13550,0,70,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,Black,Female,United-States,>50K,0.9830637924360436
54,182314,16,0,1977,50,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9829884543196602
52,191130,15,15024,0,40,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9829611825898187
50,143822,16,15024,0,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9829611825898187
56,98418,15,99999,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9828967239585145
54,103179,16,0,1902,50,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9828282538214244
46,120131,15,99999,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9827589467878798
35,123809,13,15024,0,35,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9827395446720213
57,127728,15,15024,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9827059147481995
57,159028,15,99999,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9827059147481995
56,124137,15,99999,0,45,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9827059147481995
49,43348,16,99999,0,70,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9826960243334384
55,296991,15,15024,0,40,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.982587142689799
48,349986,15,99999,0,50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9825014201253105
46,370119,15,99999,0,60,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9825014201253105
47,354148,15,99999,0,48,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9825014201253105
33,473133,16,15024,0,50,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.98248436361042
36,208358,15,99999,0,45,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9824799100433598
41,218172,13,13550,0,60,Private,Bachelors,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9823985320499923
39,191227,13,13550,0,50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9823985320499923
48,106232,15,99999,0,48,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9823889711807303
51,196501,13,14084,0,50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9823883426261842
46,176026,13,27828,0,50,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9823883426261842
59,77816,15,99999,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9823611236986147
43,208613,15,99999,0,40,Private,Prof-school,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.982310909446427
48,204629,16,15024,0,45,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,Canada,>50K,0.9822950563253704
48,171926,15,15024,0,50,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
45,178319,16,7688,0,50,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
46,176814,15,99999,0,50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
47,255965,15,15024,0,50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
47,120429,16,15024,0,50,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
50,180195,16,99999,0,50,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
45,259412,15,99999,0,50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
47,323798,15,15024,0,55,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9822817078642634
45,211399,14,7298,0,40,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9822390784166277
46,125892,14,15024,0,40,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,United-States,>50K,0.9822390784166277
52,122412,16,99999,0,35,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9822169817709192
51,454063,16,7298,0,40,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9822164063727788
56,364899,16,7688,0,65,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9821174710311481
44,342510,16,7688,0,40,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9821150980876159
37,178948,13,7688,0,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9820939761737645
47,215620,14,15024,0,55,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9820637434751558
47,332355,14,15024,0,50,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9820637434751558
51,229465,14,15024,0,50,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9820637434751558
54,511668,16,0,1977,43,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9820107130966031
44,75227,15,14084,0,40,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9820074354438664
46,250821,15,15024,0,40,State-gov,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9819931810650601
47,294913,15,99999,0,40,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9819931810650601
42,170230,14,14084,0,60,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9819799139295234
39,150061,14,15020,0,60,Private,Masters,Divorced,Exec-managerial,Unmarried,Black,Female,United-States,>50K,0.9819749695206753
51,293196,16,15024,0,60,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,Iran,>50K,0.9819721530703134
38,255941,14,10520,0,50,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9819703240528145
48,54190,15,15024,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9819688427760522
52,181855,15,99999,0,65,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,United-States,>50K,0.9819636901593236
49,120121,16,7688,0,45,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9819485057081611
55,204334,15,0,1977,55,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,England,>50K,0.9819276035407344
32,252752,14,13550,0,60,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9819107538565002
49,229737,15,99999,0,37,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9819009953907757
58,147098,15,15024,0,60,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9818930267492388
53,124076,16,99999,0,37,Private,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9818758062735937
34,186824,15,15024,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9818323304994904
36,115834,11,7298,0,55,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.9818173030859761
59,31359,14,15024,0,80,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9817787927129055
44,332401,15,99999,0,65,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.981771024191366
44,217039,15,99999,0,60,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.981771024191366
44,120277,15,99999,0,60,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.981771024191366
38,478829,15,99999,0,50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9817443957527344
54,99185,16,15024,0,45,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9817169630820635
60,38749,15,99999,0,60,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Philippines,>50K,0.9816609600883803
42,151408,14,14084,0,50,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9816567137297272
48,205707,14,10520,0,50,Federal-gov,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.981655936339265
32,193042,15,15024,0,60,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K,0.9816517906268257
57,42298,14,15024,0,40,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.9816259303630819
44,110396,14,14084,0,56,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9816197948300066
34,174215,14,7688,0,35,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9816103980387648
45,208802,15,25236,0,36,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K,0.9815810154076894
46,102388,15,15024,0,45,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9815614651479044
32,72630,15,14084,0,55,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K,0.9815447394947111
34,179673,15,7688,0,60,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9815198867750561
31,158162,13,13550,0,50,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9814943454848366
31,220066,13,14344,0,50,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9814943454848366
53,216691,16,10520,0,40,Local-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K,0.9814846906689958
64,417543,16,8614,0,50,State-gov,Doctorate,Widowed,Prof-specialty,Not-in-family,Black,Male,United-States,>50K,0.9814818691946405
49,380922,14,15024,0,80,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9814538617886469
47,380922,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9814538617886469
53,424079,14,15024,0,55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9814538617886469
59,36085,15,15024,0,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.981438448198844
40,191429,15,15024,0,40,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9814298540173457
55,115439,15,99999,0,40,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9814252446596453
42,277488,15,15024,0,65,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9813820159001249
53,368014,15,0,1977,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9813687102276081
46,133938,14,27828,0,50,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.9813270359168197
33,192002,14,7298,0,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Canada,>50K,0.981275915369198
34,173854,14,27828,0,60,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.981244443731306
50,138852,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
51,338620,14,15024,0,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
53,231472,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
45,160173,14,7688,0,50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
52,247806,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
57,317690,14,7688,0,60,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
47,155664,14,99999,0,55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
53,202733,14,7688,0,70,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
46,117849,14,99999,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
45,199058,14,7298,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
52,199995,14,7298,0,60,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
50,204447,14,15024,0,65,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
45,266860,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
49,187370,14,15024,0,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
55,197399,14,99999,0,55,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9812212477784382
50,237258,14,27828,0,48,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K,0.9812161711493824
37,254202,14,27828,0,50,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K,0.98119147396289
47,231797,13,0,1977,55,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9811529854819957
46,328216,15,0,1902,45,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9811350487368761
47,139268,15,0,1977,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.9811350487368761
52,89041,14,15024,0,60,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9811050313002441
57,132145,14,7298,0,45,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9811017267157316
54,357596,13,7298,0,55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9810939164757256
33,183923,14,7688,0,35,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K,0.9810745071117447
50,108435,14,99999,0,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9810447261224631
53,114758,14,15024,0,65,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.9810447261224631
51,223206,16,15024,0,40,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Vietnam,>50K,0.9810108218825824
